hour              lines    BUY   SELL   HOLD  DRIFT  paper    err
2026-04-21T11       527      3     11     10      0      0      0
2026-04-21T12       521      2     12     13      0      0      0
2026-04-21T13       519      8      4     14      0      0      0
2026-04-21T14       533     24      0     10      0      0      0
2026-04-21T15       520      8      6     14      0      0      0
2026-04-21T16       518     10      4     14      0      0      0
2026-04-21T17       517     12      0     14      0      0      0
2026-04-21T18       524     13      4     12      0      0      0
2026-04-21T19       656      8      0     16      0      0      0
2026-04-21T20       530     15      0     12      0      0      0
2026-04-21T21       520      7      7     14      0      0      0
2026-04-21T22       546     27      2      6      0      0      0
2026-04-21T23       523     16      0     12      0      0      0
2026-04-22T00       532     21      4     11      0      0      0
2026-04-22T01       538     18     10     10      0      0      0
2026-04-22T02       514      0     10     15      0      0      0
2026-04-22T03       499      3      0     19      0      0      0
2026-04-22T04       507      6      2     16      0      0      0
2026-04-22T05       502      3      5     15      0      0      0
2026-04-22T06       508      9      5     14      0      0      0
2026-04-22T07       503      6      5     15      0      0      0
2026-04-22T08       504      5      6     12      0      0      0
2026-04-22T09       486      0      0     20      0      0      0
2026-04-22T10       495      0      5     16      0      0      0
2026-04-22T11       510      0     12     12      0      0      0
2026-04-22T12       496      0      4     17      0      0      0
2026-04-22T13       502      3      6     11      0      0      0
2026-04-22T14       498      2      3     15      0      0      0
2026-04-22T15       499      8      0     12      0      0      0
2026-04-22T16       501      5      3     12      0      0      0
2026-04-22T17       502      9      0     11      0      0      0
2026-04-22T18       593      6      0     15      0      0      6
2026-04-22T19       499      7      3     11      0      0      0
2026-04-22T20       505     13      0     10      0      0      0
2026-04-22T21       507     10      2      9      0      0      0
2026-04-22T22       517     19      0     10      0      0      0
2026-04-22T23       504      7      4     12      0      0      0
2026-04-23T00       507     12      0     12      0      0      0
2026-04-23T01       501      4      3     16      0      0      0
2026-04-23T02       509     14      0     11      0      0      0
2026-04-23T03       502      5      3     15      0      0      0
2026-04-23T04       507      8      3     13      0      0      0
2026-04-23T05       501      1      5     16      0      0      0
2026-04-23T06       498      0      3     18      0      0      0
2026-04-23T07       501      1      0     19      0      0      0
2026-04-23T08       510      0      9     14      0      0      0
2026-04-23T09       504      3      3     16      0      0      0
2026-04-23T10       191     10      5     11      0      0      0
