date hr           lines    BUY   SELL   HOLD  DRIFT    err
2026-04-17 06       506     10      4     12      0      0
2026-04-17 07       497      6      0     16      0      0
2026-04-17 08       505     11      3     11      0      0
2026-04-18 06       526     18      0      9      0      0
2026-04-18 07       526     19      0      8      0      0
2026-04-18 08       530     22      0      9      0      0
2026-04-19 06       535     22      2      8      0      0
2026-04-19 07       544     26      2      6      0      0
2026-04-19 08       530     22      0      8      0      0
2026-04-20 06       533     12      8     10      0      0
2026-04-20 07       532      8     14      9      0      0
2026-04-20 08       514      6      4     15      0      0
2026-04-21 06       520     14      0     13      0      0
2026-04-21 07       518      6      6     14      0      0
2026-04-21 08       511      1      9     13      0      0
2026-04-22 06       508      9      5     14      0      0
2026-04-22 07       503      6      5     15      0      0
2026-04-22 08       504      5      6     12      0      0
2026-04-23 06       498      0      3     18      0      0
2026-04-23 07       501      1      0     19      0      0
2026-04-23 08       510      0      9     14      0      0
