2026-04-21T22:00:16.719727929Z 2026-04-21 22:00:16,719 - quant_v2.portfolio.optimizer - INFO - Optimizer: 3 symbols → 0 after filter | vols={'ETHUSDT': '0.0068', 'XRPUSDT': '0.0079', 'LINKUSDT': '0.0074'} | corr_pairs=3
2026-04-21T22:00:17.967869870Z 2026-04-21 22:00:17,967 - quant_v2.portfolio.optimizer - INFO - Optimizer: 4 symbols → 0 after filter | vols={'ADAUSDT': '0.0096', 'DOGEUSDT': '0.0075', 'SOLUSDT': '0.0079', 'XRPUSDT': '0.0074'} | corr_pairs=6
2026-04-21T22:00:22.144925694Z 2026-04-21 22:00:22,144 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'ETHUSDT': '0.0068', 'LINKUSDT': '0.0074'} | corr_pairs=1
2026-04-21T22:00:23.384627687Z 2026-04-21 22:00:23,384 - quant_v2.portfolio.optimizer - INFO - Optimizer: 4 symbols → 0 after filter | vols={'ADAUSDT': '0.0096', 'DOGEUSDT': '0.0075', 'SOLUSDT': '0.0079', 'XRPUSDT': '0.0073'} | corr_pairs=6
2026-04-21T22:00:24.857356733Z 2026-04-21 22:00:24,857 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'ETHUSDT': '0.0068', 'LINKUSDT': '0.0074'} | corr_pairs=1
2026-04-21T22:00:26.120490016Z 2026-04-21 22:00:26,120 - quant_v2.portfolio.optimizer - INFO - Optimizer: 3 symbols → 0 after filter | vols={'DOGEUSDT': '0.0075', 'SOLUSDT': '0.0079', 'XRPUSDT': '0.0073'} | corr_pairs=3
2026-04-21T22:00:27.575626613Z 2026-04-21 22:00:27,575 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'ETHUSDT': '0.0068', 'LINKUSDT': '0.0074'} | corr_pairs=1
2026-04-21T22:00:28.828695759Z 2026-04-21 22:00:28,828 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'SOLUSDT': '0.0079', 'XRPUSDT': '0.0073'} | corr_pairs=1
2026-04-21T22:00:30.444865262Z 2026-04-21 22:00:30,444 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0068'} | corr_pairs=0
2026-04-21T22:00:31.677290837Z 2026-04-21 22:00:31,677 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'SOLUSDT': '0.0079', 'XRPUSDT': '0.0073'} | corr_pairs=1
2026-04-21T22:00:33.147772132Z 2026-04-21 22:00:33,147 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0068'} | corr_pairs=0
2026-04-21T22:00:34.384088848Z 2026-04-21 22:00:34,383 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'SOLUSDT': '0.0079', 'XRPUSDT': '0.0073'} | corr_pairs=1
2026-04-21T22:00:37.133675452Z 2026-04-21 22:00:37,133 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'SOLUSDT': '0.0079', 'XRPUSDT': '0.0073'} | corr_pairs=1
2026-04-21T23:00:16.000560512Z 2026-04-21 23:00:16,000 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'SOLUSDT': '0.0079', 'XRPUSDT': '0.0073'} | corr_pairs=1
2026-04-21T23:00:22.160482902Z 2026-04-21 23:00:22,160 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0068'} | corr_pairs=0
2026-04-21T23:00:23.365139701Z 2026-04-21 23:00:23,364 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'SOLUSDT': '0.0079', 'XRPUSDT': '0.0073'} | corr_pairs=1
2026-04-21T23:00:27.582594766Z 2026-04-21 23:00:27,582 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'ETHUSDT': '0.0068', 'XRPUSDT': '0.0078'} | corr_pairs=1
2026-04-21T23:00:28.827045721Z 2026-04-21 23:00:28,826 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'SOLUSDT': '0.0079'} | corr_pairs=0
2026-04-21T23:00:32.883770627Z 2026-04-21 23:00:32,883 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'ETHUSDT': '0.0068', 'XRPUSDT': '0.0078'} | corr_pairs=1
2026-04-21T23:00:34.142814873Z 2026-04-21 23:00:34,142 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0076', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-21T23:00:39.451712592Z 2026-04-21 23:00:39,451 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0076', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T00:00:15.627732849Z 2026-04-22 00:00:15,627 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0076', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T00:00:19.882605189Z 2026-04-22 00:00:19,882 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'ETHUSDT': '0.0068', 'XRPUSDT': '0.0078'} | corr_pairs=1
2026-04-22T00:00:21.123015540Z 2026-04-22 00:00:21,122 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0076', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T00:00:25.176909581Z 2026-04-22 00:00:25,176 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0068'} | corr_pairs=0
2026-04-22T00:00:26.593637528Z 2026-04-22 00:00:26,593 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0076', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T00:00:30.523000964Z 2026-04-22 00:00:30,522 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0068'} | corr_pairs=0
2026-04-22T00:00:31.909596510Z 2026-04-22 00:00:31,909 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T00:00:33.219469559Z 2026-04-22 00:00:33,219 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0068'} | corr_pairs=0
2026-04-22T00:00:40.053401219Z 2026-04-22 00:00:40,053 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T01:00:11.556221453Z 2026-04-22 01:00:11,556 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0068'} | corr_pairs=0
2026-04-22T01:00:12.516285069Z 2026-04-22 01:00:12,516 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
